rank,city,state,city_state,population_2025_estimate,county,county_fips,fips_city_name,fips_state_name,matched_key
56,Honolulu,HI,Honolulu_HI,341868,Honolulu County,15003,Honolulu CCD,Hawaii,Honolulu_HI
57,Anaheim,CA,Anaheim_CA,341008,Orange County,06059,Anaheim city,California,Anaheim_CA
58,Orlando,FL,Orlando_FL,333888,Orange County,12095,Orlando city,Florida,Orlando_FL
59,Lexington,KY,Lexington_KY,329751,Fayette County,21067,Lexington-Fayette urban county,Kentucky,Lexington_KY
60,Stockton,CA,Stockton_CA,324597,San Joaquin County,06077,Stockton city,California,Stockton_CA
61,Newark,NJ,Newark_NJ,323808,Essex County,34013,Newark city,New Jersey,Newark_NJ
62,Riverside,CA,Riverside_CA,323057,Riverside County,06065,Riverside city,California,Riverside_CA
63,Irvine,CA,Irvine_CA,318764,Orange County,06059,Irvine city,California,Irvine_CA
64,Corpus Christi,TX,Corpus Christi_TX,317247,Aransas County,48007,Corpus Christi city,Texas,Corpus Christi_TX
64,Corpus Christi,TX,Corpus Christi_TX,317247,Kleberg County,48273,Corpus Christi city,Texas,Corpus Christi_TX
64,Corpus Christi,TX,Corpus Christi_TX,317247,Nueces County,48355,Corpus Christi city,Texas,Corpus Christi_TX
64,Corpus Christi,TX,Corpus Christi_TX,317247,San Patricio County,48409,Corpus Christi city,Texas,Corpus Christi_TX
65,Santa Ana,CA,Santa Ana_CA,315586,Orange County,06059,Santa Ana city,California,Santa Ana_CA
66,Cincinnati,OH,Cincinnati_OH,314367,Hamilton County,39061,Cincinnati city,Ohio,Cincinnati_OH
67,Greensboro,NC,Greensboro_NC,308667,Guilford County,37081,Greensboro city,North Carolina,Greensboro_NC
68,Pittsburgh,PA,Pittsburgh_PA,307632,Allegheny County,42003,Pittsburgh city,Pennsylvania,Pittsburgh_PA
69,Saint Paul,MN,Saint Paul_MN,306684,Ramsey County,27123,St. Paul city,Minnesota,Saint Paul_MN
70,Durham,NC,Durham_NC,305561,Durham County,37063,Durham city,North Carolina,Durham_NC
70,Durham,NC,Durham_NC,305561,Orange County,37135,Durham city,North Carolina,Durham_NC
70,Durham,NC,Durham_NC,305561,Wake County,37183,Durham city,North Carolina,Durham_NC
71,Jersey City,NJ,Jersey City_NJ,302013,Hudson County,34017,Jersey City city,New Jersey,Jersey City_NJ
72,Lincoln,NE,Lincoln_NE,301522,Lancaster County,31109,Lincoln city,Nebraska,Lincoln_NE
73,North Las Vegas,NV,North Las Vegas_NV,296653,Clark County,32003,North Las Vegas city,Nevada,North Las Vegas_NV
74,Plano,TX,Plano_TX,293028,Collin County,48085,Plano city,Texas,Plano_TX
74,Plano,TX,Plano_TX,293028,Denton County,48121,Plano city,Texas,Plano_TX
75,Gilbert,AZ,Gilbert_AZ,287285,Maricopa County,04013,Gilbert town,Arizona,Gilbert_AZ
76,Anchorage,AK,Anchorage_AK,287155,Anchorage Municipality,02020,Anchorage municipality,Alaska,Anchorage_AK
77,Madison,WI,Madison_WI,286233,Dane County,55025,Madison city,Wisconsin,Madison_WI
78,Reno,NV,Reno_NV,283621,Washoe County,32031,Reno city,Nevada,Reno_NV
79,Chandler,AZ,Chandler_AZ,278748,Maricopa County,04013,Chandler city,Arizona,Chandler_AZ
80,St. Louis,MO,St. Louis_MO,278144,St. Louis city,29510,St. Louis city,Missouri,Saint Louis_MO
81,Chula Vista,CA,Chula Vista_CA,275533,San Diego County,06073,Chula Vista city,California,Chula Vista_CA
82,Fort Wayne,IN,Fort Wayne_IN,275203,Allen County,18003,Fort Wayne city,Indiana,Fort Wayne_IN
83,Buffalo,NY,Buffalo_NY,274613,Erie County,36029,Buffalo city,New York,Buffalo_NY
84,Lubbock,TX,Lubbock_TX,273071,Lubbock County,48303,Lubbock city,Texas,Lubbock_TX
85,Laredo,TX,Laredo_TX,269515,Webb County,48479,Laredo city,Texas,Laredo_TX
86,Port St. Lucie,FL,Port St. Lucie_FL,268062,St. Lucie County,12111,Port St. Lucie city,Florida,Port Saint Lucie_FL
87,St. Petersburg,FL,St. Petersburg_FL,264033,Pinellas County,12103,St. Petersburg city,Florida,Saint Petersburg_FL
88,Toledo,OH,Toledo_OH,263423,Lucas County,39095,Toledo city,Ohio,Toledo_OH
89,Glendale,AZ,Glendale_AZ,260572,Maricopa County,04013,Glendale city,Arizona,Glendale_AZ
